title,city,image_url,href
Piccola fattoria a conduzione familiare incentrata sull'auto sufficenza.,Torino,"https://wwoof.imgix.net/photos/hosts/4209143057b38745ef89df028595e761.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/51149-piccola-fattoria-a-conduzione-familiare-incentrata-sullauto-sufficenza
"Educational Centre, Family farm",Bari,"https://wwoof.imgix.net/photos/hosts/37631372e855d34fb5ca94b0256788ee.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15671-educational-centre-family-farm
,Brescia,"https://wwoof.imgix.net/photos/hosts/c8d9cd05040df8caddfbb3a09343ed74.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14835
"Frutteto, Fattoria di famiglia, Produzione ortaggi",Aosta,"https://wwoof.imgix.net/photos/hosts/eec43f5fb4e7acc73dc980dcbd8eb0bf.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15924-frutteto-fattoria-di-famiglia-produzione-ortaggi
Destinazione Agrituristica,Lecce,"https://wwoof.imgix.net/photos/hosts/199dab7861a95b7f713dfff04ec65c09.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14786-destinazione-agrituristica
Azienda agricola,Trapani,"https://wwoof.imgix.net/photos/hosts/f8be8955d29f4a2444ef6cbe1ac56949.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14858-azienda-agricola
"Frutteto, Olivi more e lamponi, piante officinali, raccolte di frutta e piante selvatiche",Roma,"https://wwoof.imgix.net/photos/hosts/53ef9daf3988873e11c76b711b3c4e4c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15466-frutteto-olivi-more-e-lamponi-piante-officinali-raccolte-di-frutta-e-piante-selvatiche
Casa familiare e giardino - urbano,Belluno,"https://wwoof.imgix.net/photos/hosts/107cd20021f677f9a97c23fdd2a19581.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15623-casa-familiare-e-giardino-urbano
Fattoria di famiglia,Siena,"https://wwoof.imgix.net/photos/hosts/1341575c9a1f432b4fc67bb7032441d5.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15426-fattoria-di-famiglia
Azienda Agricola Biologica nelle Alpi,Brescia,"https://wwoof.imgix.net/photos/hosts/b2e2b4da4dc11ba3d82c9eb0bbbf1896.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14869-azienda-agricola-biologica-nelle-alpi
"Azienda agricola che coltiva in modo completamente naturale frutta, verdura, legumi e cereali.",Cuneo,"https://wwoof.imgix.net/photos/hosts/a8ec9c1cf804b40cf219d28841d19eda.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/48111-azienda-agricola-che-coltiva-in-modo-completamente-naturale-frutta-verdura-legumi-e-cereali
Azienda agricola biologica zootecnica,Udine,"https://wwoof.imgix.net/photos/hosts/21c293700f25e2cccbcd1796c9930f5d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/50773-azienda-agricola-biologica-zootecnica
Azienda agricola comunitaria,Asti,"https://wwoof.imgix.net/photos/hosts/21e3ed765eaa018a61f7f3b7bd80f63c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15135-azienda-agricola-comunitaria
Fattoria con animali da latte e trasformazione in caseificio,Parma,"https://wwoof.imgix.net/photos/hosts/e7b8db6d22c2f8ae599a3fd5c3b0df66.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15971-fattoria-con-animali-da-latte-e-trasformazione-in-caseificio
Azienda agricola comunitaria,Ancona,"https://wwoof.imgix.net/photos/hosts/008930fc6eb23190dd353a617d98da5d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15114-azienda-agricola-comunitaria
Destinazione Agrituristica,Genova,"https://wwoof.imgix.net/photos/hosts/545af89747ae962470d784e2bf79943f.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15248-destinazione-agrituristica
Azienda Agricola con Agriturismo e Agricapeggio in una vallata isolata al confine con la Slovenia.,Udine,"https://wwoof.imgix.net/photos/hosts/648d99d2799ba15a643bddbee3c644fe.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16256-azienda-agricola-con-agriturismo-e-agricapeggio-in-una-vallata-isolata-al-confine-con-la-slovenia
Azienda agricola,Massa-Carrara,"https://wwoof.imgix.net/photos/hosts/c79ef9fb3c39e0710d878f2d6aebe3d7.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14921-azienda-agricola
Azienda agricola biologica produzione frutta cereali vendita diretta,Vicenza,"https://wwoof.imgix.net/photos/hosts/1734d98dc201a0c9a31c6e96881fd9b4.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15136-azienda-agricola-biologica-produzione-frutta-cereali-vendita-diretta
"Azienda agricola in fase embrionale, vendita ortaggi",Genova,"https://wwoof.imgix.net/photos/hosts/d28ca29133569c8307eedf5a958a3f1c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/47356-azienda-agricola-in-fase-embrionale-vendita-ortaggi
Azienda agricola con ospitalità rurale in Piemonte località Brozolo,Torino,"https://wwoof.imgix.net/photos/hosts/03576c6cd1f6055279037b88b461a92c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/34182-azienda-agricola-con-ospitalita-rurale-in-piemonte-localita-brozolo
"Accanto è un’azienda agricola biologica certificata, fattoria didattica alle porte di Modena",Modena,"https://wwoof.imgix.net/photos/hosts/baefedb85bc6fd89d4c8435476c211c0.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/53245-accanto-e-unazienda-agricola-biologica-certificata-fattoria-didattica-alle-porte-di-modena
,Bolzano,"https://wwoof.imgix.net/photos/hosts/915e7e3413ff6a8e3c03f2106c5e38df.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15325
Ranch con varie specie di animali,Arezzo,"https://wwoof.imgix.net/photos/hosts/337cb5f9155d4ad34763888e316ee1fb.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/47466-ranch-con-varie-specie-di-animali
Piccola fattoria,Lucca,"https://wwoof.imgix.net/photos/hosts/205d87e86b9a5c34e476e652490e0371.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15489-piccola-fattoria
"Fattoria di famiglia,Falegnameria,Centro Educativo Artistico",Cuneo,"https://wwoof.imgix.net/photos/hosts/faa2a2b61443b8729c8396a59d5f9d5b.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15515-fattoria-di-famigliafalegnameriacentro-educativo-artistico
